CaseNum,xTemp,yVol,direction,Target,Prediction,CorrectPred,TestAccuracy
104,1,2,7,10,10,TRUE,100.00%
105,1,3,0,21,21,TRUE,100.00%
106,1,3,1,22,22,TRUE,100.00%
107,1,3,2,32,32,TRUE,100.00%
108,1,3,3,42,42,TRUE,100.00%
109,1,3,4,41,41,TRUE,100.00%
110,1,3,5,40,40,TRUE,100.00%
111,1,3,6,30,30,TRUE,98.75%
112,1,3,7,20,20,TRUE,100.00%
113,1,4,0,31,31,TRUE,100.00%
114,1,4,1,32,32,TRUE,100.00%
115,1,4,2,42,42,TRUE,100.00%
116,1,4,3,52,52,TRUE,100.00%
117,1,4,4,51,51,TRUE,100.00%
118,1,4,5,50,50,TRUE,100.00%
119,1,4,6,40,40,TRUE,100.00%
120,1,4,7,30,30,TRUE,100.00%
121,1,5,0,41,41,TRUE,100.00%
122,1,5,1,42,42,TRUE,100.00%
123,1,5,2,52,52,TRUE,100.00%
124,1,5,3,62,62,TRUE,100.00%
125,1,5,4,61,61,TRUE,100.00%
126,1,5,5,60,60,TRUE,100.00%
127,1,5,6,50,50,TRUE,100.00%
128,1,5,7,40,40,TRUE,100.00%
129,1,6,0,51,51,TRUE,100.00%
130,1,6,1,52,52,TRUE,100.00%
131,1,6,2,62,62,TRUE,100.00%
132,1,6,3,72,72,TRUE,100.00%
133,1,6,4,71,71,TRUE,100.00%
134,1,6,5,70,70,TRUE,100.00%
135,1,6,6,60,60,TRUE,100.00%
136,1,6,7,50,50,TRUE,100.00%
137,1,7,0,61,61,TRUE,100.00%
138,1,7,1,62,62,TRUE,100.00%
139,1,7,2,72,72,TRUE,100.00%
140,1,7,3,82,82,TRUE,100.00%
141,1,7,4,81,81,TRUE,100.00%
142,1,7,5,80,80,TRUE,100.00%
143,1,7,6,70,70,TRUE,100.00%
144,1,7,7,60,60,TRUE,100.00%
145,1,8,0,71,71,TRUE,100.00%
146,1,8,1,72,72,TRUE,100.00%
147,1,8,2,82,82,TRUE,100.00%
148,1,8,3,92,92,TRUE,100.00%
149,1,8,4,91,91,TRUE,100.00%
150,1,8,5,90,90,TRUE,100.00%
151,1,8,6,80,80,TRUE,100.00%
152,1,8,7,70,70,TRUE,100.00%
153,1,9,0,81,81,TRUE,100.00%
154,1,9,1,82,82,TRUE,100.00%
155,1,9,2,92,92,TRUE,100.00%
156,1,9,3,82,82,TRUE,100.00%
157,1,9,4,81,81,TRUE,100.00%
158,1,9,5,80,80,TRUE,100.00%
159,1,9,6,90,90,TRUE,100.00%
160,1,9,7,80,80,TRUE,100.00%
161,2,0,0,12,12,TRUE,100.00%
162,2,0,1,13,13,TRUE,100.00%
163,2,0,2,3,3,TRUE,100.00%
164,2,0,3,13,13,TRUE,100.00%
165,2,0,4,12,12,TRUE,100.00%
166,2,0,5,11,11,TRUE,100.00%
167,2,0,6,1,1,TRUE,100.00%
168,2,0,7,11,11,TRUE,100.00%
169,2,1,0,2,2,TRUE,100.00%
170,2,1,1,3,3,TRUE,100.00%
171,2,1,2,13,13,TRUE,100.00%
172,2,1,3,23,23,TRUE,100.00%
173,2,1,4,22,22,TRUE,100.00%
174,2,1,5,21,21,TRUE,100.00%
175,2,1,6,11,11,TRUE,100.00%
176,2,1,7,1,1,TRUE,100.00%
177,2,2,0,12,12,TRUE,100.00%
178,2,2,1,13,13,TRUE,100.00%
179,2,2,2,23,23,TRUE,100.00%
180,2,2,3,33,33,TRUE,100.00%
181,2,2,4,32,32,TRUE,100.00%
182,2,2,5,31,31,TRUE,100.00%
183,2,2,6,21,21,TRUE,100.00%
184,2,2,7,11,11,TRUE,100.00%
185,2,3,0,22,22,TRUE,100.00%
186,2,3,1,23,23,TRUE,100.00%
187,2,3,2,33,33,TRUE,100.00%
188,2,3,3,43,43,TRUE,100.00%
189,2,3,4,42,42,TRUE,100.00%
190,2,3,5,41,41,TRUE,100.00%
191,2,3,6,31,31,TRUE,100.00%
192,2,3,7,21,21,TRUE,100.00%
193,2,4,0,32,32,TRUE,100.00%
194,2,4,1,33,33,TRUE,100.00%
195,2,4,2,43,43,TRUE,100.00%
196,2,4,3,53,53,TRUE,100.00%
197,2,4,4,52,52,TRUE,100.00%
198,2,4,5,51,51,TRUE,100.00%
199,2,4,6,41,41,TRUE,100.00%
200,2,4,7,31,31,TRUE,100.00%
201,2,5,0,42,42,TRUE,100.00%
202,2,5,1,43,43,TRUE,100.00%
203,2,5,2,53,53,TRUE,100.00%
204,2,5,3,63,63,TRUE,100.00%
205,2,5,4,62,62,TRUE,100.00%
206,2,5,5,61,61,TRUE,100.00%
207,2,5,6,51,51,TRUE,100.00%
208,2,5,7,41,41,TRUE,99.38%
209,2,6,0,52,52,TRUE,100.00%
210,2,6,1,53,53,TRUE,100.00%
211,2,6,2,63,63,TRUE,100.00%
212,2,6,3,73,73,TRUE,100.00%
213,2,6,4,72,72,TRUE,100.00%
214,2,6,5,71,71,TRUE,100.00%
215,2,6,6,61,61,TRUE,100.00%
216,2,6,7,51,51,TRUE,100.00%
217,2,7,0,62,62,TRUE,100.00%
218,2,7,1,63,63,TRUE,100.00%
219,2,7,2,73,73,TRUE,100.00%
220,2,7,3,83,83,TRUE,100.00%
221,2,7,4,82,82,TRUE,100.00%
222,2,7,5,81,81,TRUE,100.00%
223,2,7,6,71,71,TRUE,100.00%
224,2,7,7,61,61,TRUE,100.00%
225,2,8,0,72,72,TRUE,100.00%
226,2,8,1,73,73,TRUE,100.00%
227,2,8,2,83,83,TRUE,100.00%
228,2,8,3,93,93,TRUE,100.00%
229,2,8,4,92,92,TRUE,100.00%
230,2,8,5,91,91,TRUE,100.00%
231,2,8,6,81,81,TRUE,100.00%
232,2,8,7,71,71,TRUE,100.00%
233,2,9,0,82,82,TRUE,100.00%
234,2,9,1,83,83,TRUE,100.00%
235,2,9,2,93,93,TRUE,100.00%
236,2,9,3,83,83,TRUE,100.00%
237,2,9,4,82,82,TRUE,100.00%
238,2,9,5,81,81,TRUE,100.00%
239,2,9,6,91,91,TRUE,100.00%
240,2,9,7,81,81,TRUE,100.00%
241,3,0,0,13,13,TRUE,100.00%
242,3,0,1,14,14,TRUE,100.00%
243,3,0,2,4,4,TRUE,100.00%
244,3,0,3,14,14,TRUE,100.00%
245,3,0,4,13,13,TRUE,99.38%
246,3,0,5,12,12,TRUE,100.00%
247,3,0,6,2,2,TRUE,100.00%
248,3,0,7,12,12,TRUE,100.00%
249,3,1,0,3,3,TRUE,100.00%
250,3,1,1,4,4,TRUE,100.00%
251,3,1,2,14,14,TRUE,100.00%
252,3,1,3,24,24,TRUE,100.00%
253,3,1,4,23,23,TRUE,100.00%
254,3,1,5,22,22,TRUE,100.00%
255,3,1,6,12,12,TRUE,100.00%
256,3,1,7,2,2,TRUE,100.00%
257,3,2,0,13,13,TRUE,100.00%
258,3,2,1,14,14,TRUE,100.00%
259,3,2,2,24,24,TRUE,100.00%
260,3,2,3,34,34,TRUE,100.00%
261,3,2,4,33,33,TRUE,100.00%
262,3,2,5,32,32,TRUE,100.00%
263,3,2,6,22,22,TRUE,100.00%
264,3,2,7,12,12,TRUE,100.00%
265,3,3,0,23,23,TRUE,100.00%
266,3,3,1,24,24,TRUE,100.00%
267,3,3,2,34,34,TRUE,100.00%
268,3,3,3,44,44,TRUE,100.00%
269,3,3,4,43,43,TRUE,99.38%
270,3,3,5,42,42,TRUE,99.38%
271,3,3,6,32,32,TRUE,99.38%
272,3,3,7,22,22,TRUE,99.38%
273,3,4,0,33,33,TRUE,99.38%
274,3,4,1,34,34,TRUE,100.00%
275,3,4,2,44,44,TRUE,100.00%
276,3,4,3,54,54,TRUE,99.38%
277,3,4,4,53,53,TRUE,99.38%
278,3,4,5,52,52,TRUE,99.38%
279,3,4,6,42,42,TRUE,99.38%
280,3,4,7,32,32,TRUE,99.38%
281,3,5,0,43,43,TRUE,99.38%
282,3,5,1,44,44,TRUE,99.38%
283,3,5,2,54,54,TRUE,99.38%
284,3,5,3,64,64,TRUE,100.00%
285,3,5,4,63,63,TRUE,100.00%
286,3,5,5,62,62,TRUE,99.38%
287,3,5,6,52,52,TRUE,99.38%
288,3,5,7,42,42,TRUE,100.00%
289,3,6,0,53,53,TRUE,100.00%
290,3,6,1,54,54,TRUE,100.00%
291,3,6,2,64,64,TRUE,99.38%
292,3,6,3,74,74,TRUE,100.00%
293,3,6,4,73,73,TRUE,100.00%
294,3,6,5,72,72,TRUE,100.00%
295,3,6,6,62,62,TRUE,100.00%
296,3,6,7,52,52,TRUE,100.00%
297,3,7,0,63,63,TRUE,99.38%
298,3,7,1,64,64,TRUE,100.00%
299,3,7,2,74,74,TRUE,100.00%
300,3,7,3,84,84,TRUE,100.00%
301,3,7,4,83,83,TRUE,100.00%
302,3,7,5,82,82,TRUE,99.38%
303,3,7,6,72,72,TRUE,100.00%
304,3,7,7,62,62,TRUE,100.00%
305,3,8,0,73,73,TRUE,100.00%
306,3,8,1,74,74,TRUE,100.00%
307,3,8,2,84,84,TRUE,100.00%
308,3,8,3,94,94,TRUE,100.00%
309,3,8,4,93,93,TRUE,99.38%
310,3,8,5,92,92,TRUE,100.00%
311,3,8,6,82,82,TRUE,100.00%
312,3,8,7,72,72,TRUE,100.00%
313,3,9,0,83,83,TRUE,99.38%
314,3,9,1,84,84,TRUE,100.00%
315,3,9,2,94,94,TRUE,100.00%
22,0,2,5,31,30,FALSE,98.75%
317,3,9,4,83,83,TRUE,100.00%
318,3,9,5,82,82,TRUE,100.00%
319,3,9,6,92,92,TRUE,100.00%
320,3,9,7,82,82,TRUE,100.00%
321,4,0,0,14,14,TRUE,100.00%
322,4,0,1,15,15,TRUE,100.00%
323,4,0,2,5,5,TRUE,100.00%
324,4,0,3,15,15,TRUE,100.00%
325,4,0,4,14,14,TRUE,100.00%
326,4,0,5,13,13,TRUE,100.00%
327,4,0,6,3,3,TRUE,100.00%
328,4,0,7,13,13,TRUE,100.00%
329,4,1,0,4,4,TRUE,99.38%
330,4,1,1,5,5,TRUE,100.00%
331,4,1,2,15,15,TRUE,100.00%
332,4,1,3,25,25,TRUE,100.00%
333,4,1,4,24,24,TRUE,100.00%
334,4,1,5,23,23,TRUE,100.00%
335,4,1,6,13,13,TRUE,100.00%
336,4,1,7,3,3,TRUE,100.00%
337,4,2,0,14,14,TRUE,100.00%
338,4,2,1,15,15,TRUE,99.38%
339,4,2,2,25,25,TRUE,100.00%
340,4,2,3,35,35,TRUE,100.00%
341,4,2,4,34,34,TRUE,100.00%
342,4,2,5,33,33,TRUE,100.00%
343,4,2,6,23,23,TRUE,100.00%
344,4,2,7,13,13,TRUE,100.00%
345,4,3,0,24,24,TRUE,100.00%
346,4,3,1,25,25,TRUE,100.00%
347,4,3,2,35,35,TRUE,100.00%
348,4,3,3,45,45,TRUE,100.00%
349,4,3,4,44,44,TRUE,100.00%
350,4,3,5,43,43,TRUE,100.00%
351,4,3,6,33,33,TRUE,100.00%
352,4,3,7,23,23,TRUE,100.00%
353,4,4,0,34,34,TRUE,100.00%
354,4,4,1,35,35,TRUE,100.00%
355,4,4,2,45,45,TRUE,100.00%
356,4,4,3,55,55,TRUE,100.00%
357,4,4,4,54,54,TRUE,100.00%
358,4,4,5,53,53,TRUE,100.00%
359,4,4,6,43,43,TRUE,100.00%
360,4,4,7,33,33,TRUE,100.00%
361,4,5,0,44,44,TRUE,100.00%
362,4,5,1,45,45,TRUE,100.00%
363,4,5,2,55,55,TRUE,100.00%
364,4,5,3,65,65,TRUE,100.00%
365,4,5,4,64,64,TRUE,100.00%
366,4,5,5,63,63,TRUE,100.00%
367,4,5,6,53,53,TRUE,100.00%
368,4,5,7,43,43,TRUE,100.00%
369,4,6,0,54,54,TRUE,100.00%
370,4,6,1,55,55,TRUE,100.00%
371,4,6,2,65,65,TRUE,100.00%
372,4,6,3,75,75,TRUE,100.00%
373,4,6,4,74,74,TRUE,100.00%
374,4,6,5,73,73,TRUE,100.00%
375,4,6,6,63,63,TRUE,100.00%
376,4,6,7,53,53,TRUE,100.00%
377,4,7,0,64,64,TRUE,100.00%
378,4,7,1,65,65,TRUE,100.00%
379,4,7,2,75,75,TRUE,100.00%
380,4,7,3,85,85,TRUE,100.00%
381,4,7,4,84,84,TRUE,100.00%
382,4,7,5,83,83,TRUE,100.00%
383,4,7,6,73,73,TRUE,100.00%
384,4,7,7,63,63,TRUE,100.00%
385,4,8,0,74,74,TRUE,100.00%
386,4,8,1,75,75,TRUE,100.00%
387,4,8,2,85,85,TRUE,100.00%
388,4,8,3,95,95,TRUE,100.00%
389,4,8,4,94,94,TRUE,100.00%
390,4,8,5,93,93,TRUE,100.00%
391,4,8,6,83,83,TRUE,100.00%
392,4,8,7,73,73,TRUE,100.00%
393,4,9,0,84,84,TRUE,100.00%
394,4,9,1,85,85,TRUE,100.00%
395,4,9,2,95,95,TRUE,100.00%
396,4,9,3,85,85,TRUE,100.00%
397,4,9,4,84,84,TRUE,100.00%
398,4,9,5,83,83,TRUE,100.00%
399,4,9,6,93,93,TRUE,100.00%
400,4,9,7,83,83,TRUE,100.00%
401,5,0,0,15,15,TRUE,100.00%
402,5,0,1,16,16,TRUE,100.00%
403,5,0,2,6,6,TRUE,100.00%
404,5,0,3,16,16,TRUE,100.00%
405,5,0,4,15,15,TRUE,100.00%
406,5,0,5,14,14,TRUE,100.00%
407,5,0,6,4,4,TRUE,100.00%
408,5,0,7,14,14,TRUE,100.00%
409,5,1,0,5,5,TRUE,100.00%
410,5,1,1,6,6,TRUE,100.00%
411,5,1,2,16,16,TRUE,100.00%
412,5,1,3,26,26,TRUE,98.75%
413,5,1,4,25,25,TRUE,100.00%
414,5,1,5,24,24,TRUE,100.00%
415,5,1,6,14,14,TRUE,100.00%
416,5,1,7,4,4,TRUE,99.38%
417,5,2,0,15,15,TRUE,99.38%
418,5,2,1,16,16,TRUE,100.00%
419,5,2,2,26,26,TRUE,98.75%
420,5,2,3,36,36,TRUE,99.38%
421,5,2,4,35,35,TRUE,98.12%
422,5,2,5,34,34,TRUE,100.00%
423,5,2,6,24,24,TRUE,100.00%
424,5,2,7,14,14,TRUE,100.00%
425,5,3,0,25,25,TRUE,100.00%
426,5,3,1,26,26,TRUE,100.00%
427,5,3,2,36,36,TRUE,100.00%
428,5,3,3,46,46,TRUE,100.00%
429,5,3,4,45,45,TRUE,100.00%
430,5,3,5,44,44,TRUE,99.38%
431,5,3,6,34,34,TRUE,99.38%
432,5,3,7,24,24,TRUE,100.00%
433,5,4,0,35,35,TRUE,100.00%
434,5,4,1,36,36,TRUE,100.00%
435,5,4,2,46,46,TRUE,100.00%
436,5,4,3,56,56,TRUE,100.00%
437,5,4,4,55,55,TRUE,100.00%
438,5,4,5,54,54,TRUE,100.00%
439,5,4,6,44,44,TRUE,100.00%
440,5,4,7,34,34,TRUE,99.38%
441,5,5,0,45,45,TRUE,100.00%
442,5,5,1,46,46,TRUE,100.00%
443,5,5,2,56,56,TRUE,100.00%
444,5,5,3,66,66,TRUE,100.00%
445,5,5,4,65,65,TRUE,100.00%
446,5,5,5,64,64,TRUE,100.00%
447,5,5,6,54,54,TRUE,100.00%
448,5,5,7,44,44,TRUE,99.38%
449,5,6,0,55,55,TRUE,100.00%
450,5,6,1,56,56,TRUE,100.00%
451,5,6,2,66,66,TRUE,100.00%
452,5,6,3,76,76,TRUE,100.00%
453,5,6,4,75,75,TRUE,100.00%
454,5,6,5,74,74,TRUE,100.00%
455,5,6,6,64,64,TRUE,100.00%
456,5,6,7,54,54,TRUE,100.00%
457,5,7,0,65,65,TRUE,100.00%
458,5,7,1,66,66,TRUE,100.00%
459,5,7,2,76,76,TRUE,100.00%
460,5,7,3,86,86,TRUE,100.00%
461,5,7,4,85,85,TRUE,100.00%
462,5,7,5,84,84,TRUE,100.00%
463,5,7,6,74,74,TRUE,100.00%
464,5,7,7,64,64,TRUE,100.00%
465,5,8,0,75,75,TRUE,100.00%
466,5,8,1,76,76,TRUE,100.00%
467,5,8,2,86,86,TRUE,100.00%
468,5,8,3,96,96,TRUE,100.00%
469,5,8,4,95,95,TRUE,100.00%
470,5,8,5,94,94,TRUE,100.00%
471,5,8,6,84,84,TRUE,99.38%
472,5,8,7,74,74,TRUE,100.00%
473,5,9,0,85,85,TRUE,99.38%
474,5,9,1,86,86,TRUE,99.38%
475,5,9,2,96,96,TRUE,99.38%
476,5,9,3,86,86,TRUE,99.38%
477,5,9,4,85,85,TRUE,100.00%
478,5,9,5,84,84,TRUE,100.00%
479,5,9,6,94,94,TRUE,100.00%
480,5,9,7,84,84,TRUE,99.38%
481,6,0,0,16,16,TRUE,100.00%
482,6,0,1,17,17,TRUE,100.00%
483,6,0,2,7,7,TRUE,99.38%
484,6,0,3,17,17,TRUE,99.38%
485,6,0,4,16,16,TRUE,99.38%
486,6,0,5,15,15,TRUE,100.00%
487,6,0,6,5,5,TRUE,100.00%
488,6,0,7,15,15,TRUE,100.00%
489,6,1,0,6,6,TRUE,100.00%
490,6,1,1,7,7,TRUE,99.38%
491,6,1,2,17,17,TRUE,100.00%
492,6,1,3,27,27,TRUE,100.00%
493,6,1,4,26,26,TRUE,99.38%
494,6,1,5,25,25,TRUE,99.38%
495,6,1,6,15,15,TRUE,99.38%
496,6,1,7,5,5,TRUE,100.00%
497,6,2,0,16,16,TRUE,99.38%
498,6,2,1,17,17,TRUE,100.00%
499,6,2,2,27,27,TRUE,100.00%
500,6,2,3,37,37,TRUE,99.38%
501,6,2,4,36,36,TRUE,99.38%
502,6,2,5,35,35,TRUE,100.00%
503,6,2,6,25,25,TRUE,100.00%
504,6,2,7,15,15,TRUE,100.00%
505,6,3,0,26,26,TRUE,99.38%
506,6,3,1,27,27,TRUE,99.38%
507,6,3,2,37,37,TRUE,99.38%
508,6,3,3,47,47,TRUE,99.38%
509,6,3,4,46,46,TRUE,100.00%
510,6,3,5,45,45,TRUE,100.00%
511,6,3,6,35,35,TRUE,100.00%
512,6,3,7,25,25,TRUE,100.00%
513,6,4,0,36,36,TRUE,100.00%
514,6,4,1,37,37,TRUE,100.00%
515,6,4,2,47,47,TRUE,100.00%
516,6,4,3,57,57,TRUE,99.38%
517,6,4,4,56,56,TRUE,99.38%
518,6,4,5,55,55,TRUE,99.38%
519,6,4,6,45,45,TRUE,99.38%
520,6,4,7,35,35,TRUE,99.38%
521,6,5,0,46,46,TRUE,99.38%
522,6,5,1,47,47,TRUE,98.75%
523,6,5,2,57,57,TRUE,99.38%
524,6,5,3,67,67,TRUE,100.00%
78,0,9,5,81,90,FALSE,100.00%
526,6,5,5,65,65,TRUE,99.38%
527,6,5,6,55,55,TRUE,98.75%
528,6,5,7,45,45,TRUE,100.00%
529,6,6,0,56,56,TRUE,98.75%
530,6,6,1,57,57,TRUE,99.38%
531,6,6,2,67,67,TRUE,100.00%
532,6,6,3,77,77,TRUE,100.00%
533,6,6,4,76,76,TRUE,99.38%
534,6,6,5,75,75,TRUE,99.38%
535,6,6,6,65,65,TRUE,99.38%
536,6,6,7,55,55,TRUE,99.38%
537,6,7,0,66,66,TRUE,99.38%
538,6,7,1,67,67,TRUE,99.38%
539,6,7,2,77,77,TRUE,99.38%
540,6,7,3,87,87,TRUE,99.38%
541,6,7,4,86,86,TRUE,100.00%
542,6,7,5,85,85,TRUE,100.00%
543,6,7,6,75,75,TRUE,99.38%
544,6,7,7,65,65,TRUE,99.38%
545,6,8,0,76,76,TRUE,99.38%
546,6,8,1,77,77,TRUE,99.38%
547,6,8,2,87,87,TRUE,99.38%
548,6,8,3,97,97,TRUE,99.38%
549,6,8,4,96,96,TRUE,99.38%
550,6,8,5,95,95,TRUE,99.38%
551,6,8,6,85,85,TRUE,99.38%
552,6,8,7,75,75,TRUE,100.00%
553,6,9,0,86,86,TRUE,99.38%
554,6,9,1,87,87,TRUE,99.38%
555,6,9,2,97,97,TRUE,99.38%
556,6,9,3,87,87,TRUE,99.38%
557,6,9,4,86,86,TRUE,99.38%
558,6,9,5,85,84,FALSE,98.12%
559,6,9,6,95,95,TRUE,97.50%
560,6,9,7,85,85,TRUE,97.50%
561,7,0,0,17,17,TRUE,97.50%
562,7,0,1,18,18,TRUE,97.50%
563,7,0,2,8,8,TRUE,97.50%
564,7,0,3,18,18,TRUE,97.50%
565,7,0,4,17,17,TRUE,97.50%
566,7,0,5,16,16,TRUE,97.50%
567,7,0,6,6,6,TRUE,97.50%
568,7,0,7,16,16,TRUE,98.12%
569,7,1,0,7,7,TRUE,97.50%
570,7,1,1,8,8,TRUE,97.50%
571,7,1,2,18,18,TRUE,97.50%
572,7,1,3,28,28,TRUE,97.50%
573,7,1,4,27,27,TRUE,98.12%
574,7,1,5,26,26,TRUE,97.50%
575,7,1,6,16,16,TRUE,97.50%
576,7,1,7,6,6,TRUE,98.12%
577,7,2,0,17,17,TRUE,98.12%
578,7,2,1,18,18,TRUE,97.50%
579,7,2,2,28,28,TRUE,97.50%
580,7,2,3,38,38,TRUE,97.50%
581,7,2,4,37,37,TRUE,97.50%
582,7,2,5,36,36,TRUE,97.50%
583,7,2,6,26,26,TRUE,97.50%
584,7,2,7,16,16,TRUE,97.50%
585,7,3,0,27,27,TRUE,97.50%
586,7,3,1,28,28,TRUE,97.50%
587,7,3,2,38,38,TRUE,97.50%
588,7,3,3,48,48,TRUE,97.50%
589,7,3,4,47,47,TRUE,97.50%
590,7,3,5,46,46,TRUE,97.50%
591,7,3,6,36,36,TRUE,97.50%
592,7,3,7,26,26,TRUE,97.50%
593,7,4,0,37,37,TRUE,97.50%
594,7,4,1,38,38,TRUE,97.50%
595,7,4,2,48,48,TRUE,98.12%
596,7,4,3,58,58,TRUE,98.12%
597,7,4,4,57,57,TRUE,98.12%
598,7,4,5,56,56,TRUE,98.12%
599,7,4,6,46,46,TRUE,98.12%
600,7,4,7,36,36,TRUE,97.50%
601,7,5,0,47,47,TRUE,98.12%
602,7,5,1,48,48,TRUE,97.50%
603,7,5,2,58,58,TRUE,97.50%
604,7,5,3,68,68,TRUE,97.50%
605,7,5,4,67,67,TRUE,98.12%
606,7,5,5,66,66,TRUE,98.12%
607,7,5,6,56,56,TRUE,97.50%
608,7,5,7,46,46,TRUE,98.12%
609,7,6,0,57,57,TRUE,98.12%
610,7,6,1,58,58,TRUE,98.12%
611,7,6,2,68,68,TRUE,98.12%
612,7,6,3,78,78,TRUE,98.12%
613,7,6,4,77,77,TRUE,98.12%
614,7,6,5,76,76,TRUE,98.12%
615,7,6,6,66,66,TRUE,98.12%
616,7,6,7,56,56,TRUE,98.12%
617,7,7,0,67,67,TRUE,98.12%
618,7,7,1,68,68,TRUE,98.12%
619,7,7,2,78,78,TRUE,98.12%
620,7,7,3,88,88,TRUE,97.50%
621,7,7,4,87,87,TRUE,97.50%
622,7,7,5,86,86,TRUE,98.12%
623,7,7,6,76,76,TRUE,97.50%
624,7,7,7,66,66,TRUE,97.50%
625,7,8,0,77,77,TRUE,98.12%
626,7,8,1,78,78,TRUE,97.50%
627,7,8,2,88,88,TRUE,98.12%
628,7,8,3,98,98,TRUE,98.12%
629,7,8,4,97,97,TRUE,97.50%
630,7,8,5,96,96,TRUE,97.50%
631,7,8,6,86,86,TRUE,98.12%
632,7,8,7,76,76,TRUE,98.12%
